Name	Global_Rank	US_Rank	Framework	Ecommerce	Analytics
grasslandbeef.com	83,538	16,604		ProStores	"Google Analytics,Hubspot"
klwines.com	42,501	9,146	PHP,ASP_NET	"Cart Functionality"	"Google Analytics,Omniture SiteCatalyst"
greenmountaincoffee.com	45,772	6,403	"ASP_NET Ajax,Shockwave Flash Embed"	"Ascentium Commerce Server,Cart Functionality"	"SLI Systems,Google Analytics,MediaMath,Coremetrics,Google Analytics with Ad Tracking,Google eCommerce Conversion Tracking,Dotomi,Monetate"
dunkindonuts.com	25,420	6,017	J2EE,ASP_NET		"Krux Digital,Google Analytics,Datalogix,MediaMath,Omniture SiteCatalyst,Neustar AdAdvisor,Rapleaf,Quantcast Measurement,DoubleClick Floodlight,Acxiom"
kingarthurflour.com	17,299	4,294			"SLI Systems,Google Analytics,Quantcast Measurement,DoubleClick Floodlight,Salesforce,Twitter Analytics"
harryanddavid.com	14,555	3,568	PHP,J2EE	"IBM Websphere Commerce"	"Facebook Domain Insights,SLI Systems,Google Analytics,TagMan,Coremetrics,Google Universal Analytics,Maxymiser,Dotomi,Kenshoo,ForeSee Results"
netflix.com	93	23			MediaMind,BrightTag
zatarains.com	640,289	221,940	"ASP_NET Ajax"		"MediaMind,comScore,Google Analytics,DoubleClick Floodlight,Omniture SiteCatalyst,Interclick"
zumiez.com	13,120	3,654		"Magento,ATG Commerce"	"ClickTale,New Relic,Google Analytics,Google eCommerce Conversion Tracking,Omniture SiteCatalyst,Chartbeat"
zzounds.com	13,359	2,942			"Google Analytics,Google eCommerce Conversion Tracking"
zennioptical.com	19,570	4,242	"Java Servlet,PHP,J2EE"	"ATG Commerce"	"Real Media Group,Google Analytics,Datalogix,Strands,Twitter Analytics"
zachys.com	300,132	72,952			"SLI Systems,Google Analytics Enchanced Link Attribution,comScore,Google Analytics,Google Analytics with Ad Tracking,Google Universal Analytics,Neustar AdAdvisor,Google eCommerce Conversion Tracking,Optimizely,Twitter Analytics"
zhitea.com	650,828	158,784		Magento	"comScore,Google Analytics,Woopra"
zillow.com	251	49	"Shockwave Flash Embed,PHP,Java Servlet,J2EE"		"Adometry,Facebook Domain Insights,Google Analytics,comScore,Hubspot,Omniture SiteCatalyst,Google Analytics with Ad Tracking,Google eCommerce Conversion Tracking,Quantcast Measurement,DoubleClick Floodlight,ForeSee Results"
